RECLOC,DEP_KEY,Path,Score
AGYV45,ZZ20240516HYDAMD3723,['INV-ZZ-9146206'],745500
ARVE32,ZZ20240516HYDAMD3723,['INV-ZZ-3646764'],1312500
AZSF88,ZZ20240516HYDAMD3723,['INV-ZZ-9961664'],493500
BYKC60,ZZ20240516HYDAMD3723,['INV-ZZ-8250797'],493500
DUAG33,ZZ20240516HYDAMD3723,['INV-ZZ-3646764'],871500
DUBJ35,ZZ20240516HYDAMD3723,"['INV-ZZ-7364196', 'INV-ZZ-8293607', 'INV-ZZ-4862678', 'INV-ZZ-3483223']",705000
FCHS82,ZZ20240516HYDAMD3723,"['INV-ZZ-1811088', 'INV-ZZ-1295587', 'INV-ZZ-8293607', 'INV-ZZ-5855237']",584000
GYBJ90,ZZ20240516HYDAMD3723,['INV-ZZ-7465065'],1239000
IFOT44,ZZ20240516HYDAMD3723,['INV-ZZ-4622895'],1417500
IUOE22,ZZ20240516HYDAMD3723,"['INV-ZZ-4863717', 'INV-ZZ-1356544', 'INV-ZZ-1845516', 'INV-ZZ-4416867']",1092500
IUOE88,ZZ20240516HYDAMD3723,['INV-ZZ-1644109'],3412500
JRRS62,ZZ20240516HYDAMD3723,['INV-ZZ-5800571'],535500
LHGC72,ZZ20240516HYDAMD3723,['INV-ZZ-6584575'],157500
MOKP38,ZZ20240516HYDAMD3723,['INV-ZZ-4622895'],1522500
MTEW64,ZZ20240516HYDAMD3723,['INV-ZZ-9723952'],640500
NZMC56,ZZ20240516HYDAMD3723,['INV-ZZ-5934612'],1617000
QUXC31,ZZ20240516HYDAMD3723,['INV-ZZ-9146206'],1669500
TBYQ49,ZZ20240516HYDAMD3723,['INV-ZZ-4574120'],934500
TLEK50,ZZ20240516HYDAMD3723,['INV-ZZ-4622895'],1354500
UIMJ88,ZZ20240516HYDAMD3723,['INV-ZZ-3596011'],577500
VGLW55,ZZ20240516HYDAMD3723,['INV-ZZ-1701449'],2425500
VSII60,ZZ20240516HYDAMD3723,['INV-ZZ-9541445'],661500
VTRE10,ZZ20240516HYDAMD3723,['INV-ZZ-9961664'],1953000
WEDU19,ZZ20240516HYDAMD3723,['INV-ZZ-1535659'],934500
WIDP94,ZZ20240516HYDAMD3723,['INV-ZZ-7388012'],357500
XDRG81,ZZ20240516HYDAMD3723,['INV-ZZ-9541445'],556500
XLWE26,ZZ20240516HYDAMD3723,['INV-ZZ-5183618'],1900500
XNVS89,ZZ20240516HYDAMD3723,['INV-ZZ-6148464'],955500
ZCVH22,ZZ20240516HYDAMD3723,['INV-ZZ-1093151'],1596000
ZDCU40,ZZ20240516HYDAMD3723,['INV-ZZ-1093151'],294000
ZKDX82,ZZ20240516HYDAMD3723,['INV-ZZ-9333293'],1596000
