RECLOC,DEP_KEY,Path,Score
AGYV45,ZZ20240516HYDAMD3723,['INV-ZZ-1701449'],745500
ARVE32,ZZ20240516HYDAMD3723,['INV-ZZ-1572464'],1312500
AZSF88,ZZ20240516HYDAMD3723,['INV-ZZ-6297563'],305500
BYKC60,ZZ20240516HYDAMD3723,['INV-ZZ-1835306'],493500
DUAG33,ZZ20240516HYDAMD3723,"['INV-ZZ-5317709', 'INV-ZZ-4166932', 'INV-ZZ-6858167', 'INV-ZZ-9522445']",788500
DUBJ35,ZZ20240516HYDAMD3723,['INV-ZZ-9333293'],987000
FCHS82,ZZ20240516HYDAMD3723,['INV-ZZ-6895189'],693500
GYBJ90,ZZ20240516HYDAMD3723,['INV-ZZ-1701449'],1239000
IFOT44,ZZ20240516HYDAMD3723,['INV-ZZ-1572464'],1417500
IUOE22,ZZ20240516HYDAMD3723,['INV-ZZ-4173904'],1207500
IUOE88,ZZ20240516HYDAMD3723,['INV-ZZ-1197368'],3412500
JRRS62,ZZ20240516HYDAMD3723,['INV-ZZ-1197368'],535500
LHGC72,ZZ20240516HYDAMD3723,['INV-ZZ-6148464'],157500
MOKP38,ZZ20240516HYDAMD3723,['INV-ZZ-6221422'],1522500
MTEW64,ZZ20240516HYDAMD3723,['INV-ZZ-9541445'],1921500
NZMC56,ZZ20240516HYDAMD3723,['INV-ZZ-5862096'],1617000
QUXC31,ZZ20240516HYDAMD3723,['INV-ZZ-3106448'],1669500
TBYQ49,ZZ20240516HYDAMD3723,['INV-ZZ-4716996'],934500
TLEK50,ZZ20240516HYDAMD3723,['INV-ZZ-1835306'],1354500
UIMJ88,ZZ20240516HYDAMD3723,['INV-ZZ-9146206'],577500
VGLW55,ZZ20240516HYDAMD3723,['INV-ZZ-1129237'],2425500
VSII60,ZZ20240516HYDAMD3723,['INV-ZZ-8657660'],661500
VTRE10,ZZ20240516HYDAMD3723,['INV-ZZ-9541445'],1953000
WEDU19,ZZ20240516HYDAMD3723,['INV-ZZ-2445370'],934500
WIDP94,ZZ20240516HYDAMD3723,['INV-ZZ-8561943'],577500
XDRG81,ZZ20240516HYDAMD3723,['INV-ZZ-1093151'],556500
XLWE26,ZZ20240516HYDAMD3723,['INV-ZZ-5049255'],1900500
XNVS89,ZZ20240516HYDAMD3723,['INV-ZZ-3596011'],955500
ZCVH22,ZZ20240516HYDAMD3723,"['INV-ZZ-5317709', 'INV-ZZ-4166932', 'INV-ZZ-6858167', 'INV-ZZ-9522445']",1444000
ZDCU40,ZZ20240516HYDAMD3723,['INV-ZZ-8561943'],294000
ZKDX82,ZZ20240516HYDAMD3723,['INV-ZZ-3646764'],1596000
