RECLOC,DEP_KEY,Path,Score
AGYV45,ZZ20240516HYDAMD3723,['INV-ZZ-4574120'],745500
ARVE32,ZZ20240516HYDAMD3723,['INV-ZZ-6448069'],1312500
AZSF88,ZZ20240516HYDAMD3723,['INV-ZZ-9333293'],493500
BYKC60,ZZ20240516HYDAMD3723,['INV-ZZ-5800571'],493500
DUAG33,ZZ20240516HYDAMD3723,['INV-ZZ-4939533'],871500
DUBJ35,ZZ20240516HYDAMD3723,['INV-ZZ-9723952'],329000
FCHS82,ZZ20240516HYDAMD3723,['INV-ZZ-6584575'],766500
GYBJ90,ZZ20240516HYDAMD3723,['INV-ZZ-6621713'],1239000
IFOT44,ZZ20240516HYDAMD3723,['INV-ZZ-3162191'],1417500
IUOE22,ZZ20240516HYDAMD3723,['INV-ZZ-7465065'],1207500
IUOE88,ZZ20240516HYDAMD3723,['INV-ZZ-6584575'],3412500
JRRS62,ZZ20240516HYDAMD3723,"['INV-ZZ-6755786', 'INV-ZZ-4149618', 'INV-ZZ-9219423', 'INV-ZZ-2849755']",484500
LHGC72,ZZ20240516HYDAMD3723,['INV-ZZ-6621713'],157500
MOKP38,ZZ20240516HYDAMD3723,['INV-ZZ-1197368'],1522500
MTEW64,ZZ20240516HYDAMD3723,"['INV-ZZ-1838433', 'INV-ZZ-1755206', 'INV-ZZ-7307992', 'INV-ZZ-9166592']",1738500
NZMC56,ZZ20240516HYDAMD3723,['INV-ZZ-5467478'],1617000
QUXC31,ZZ20240516HYDAMD3723,['INV-ZZ-6246289'],1669500
TBYQ49,ZZ20240516HYDAMD3723,['INV-ZZ-3106448'],934500
TLEK50,ZZ20240516HYDAMD3723,['INV-ZZ-1225790'],1354500
UIMJ88,ZZ20240516HYDAMD3723,['INV-ZZ-4716996'],577500
VGLW55,ZZ20240516HYDAMD3723,['INV-ZZ-4622895'],2425500
VSII60,ZZ20240516HYDAMD3723,['INV-ZZ-3381943'],661500
VTRE10,ZZ20240516HYDAMD3723,['INV-ZZ-3646764'],1953000
WEDU19,ZZ20240516HYDAMD3723,['INV-ZZ-1129237'],934500
WIDP94,ZZ20240516HYDAMD3723,['INV-ZZ-5049255'],577500
XDRG81,ZZ20240516HYDAMD3723,['INV-ZZ-6895189'],503500
XLWE26,ZZ20240516HYDAMD3723,['INV-ZZ-4574120'],1900500
XNVS89,ZZ20240516HYDAMD3723,['INV-ZZ-9851798'],955500
ZCVH22,ZZ20240516HYDAMD3723,['INV-ZZ-9541445'],1596000
ZDCU40,ZZ20240516HYDAMD3723,['INV-ZZ-1585088'],294000
ZKDX82,ZZ20240516HYDAMD3723,"['INV-ZZ-5199975', 'INV-ZZ-5567149', 'INV-ZZ-8249458', 'INV-ZZ-8092261']",760000
