RECLOC,DEP_KEY,Path,Score
AFAJ53,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",586500
AIGU50,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",816500
ATNB22,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
AZON15,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",598000
AZXJ72,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],903000
BBZC52,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],651000
BDCV62,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],1554000
BGVH87,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",471500
BKBA48,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",2553000
BPLG41,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],913500
BTKY23,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",770500
CAEI40,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1281000
CEHI73,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],1386000
CODF11,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1391500
COLS70,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],430500
DDIA25,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],1029000
DJWG48,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1472000
DTNO66,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1323000
DYYT32,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
EEIB58,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],472500
EJFI16,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],861000
EQRJ63,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1071000
EURZ68,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],157500
EYSR99,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],1596000
GARS29,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1322500
GDMM37,ZZ20240505AMDHYD2223,"['INV-ZZ-7872647', 'INV-ZZ-5884789', 'INV-ZZ-8230417']",2250000
GMTF21,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1081000
GOKD77,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",816500
HSNQ73,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",989000
IZJT55,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],2047500
JRQK47,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],2121000
JSND24,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",989000
JUNG10,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1069500
KEBM40,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1012000
KPPD59,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],892500
KVIB37,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],609000
