RECLOC,DEP_KEY,Path,Score
AGYV45,ZZ20240516HYDAMD3723,"['INV-ZZ-1838433', 'INV-ZZ-1755206', 'INV-ZZ-7307992', 'INV-ZZ-9166592']",674500
ARVE32,ZZ20240516HYDAMD3723,"['INV-ZZ-5317709', 'INV-ZZ-4166932', 'INV-ZZ-6858167', 'INV-ZZ-9522445']",1187500
AZSF88,ZZ20240516HYDAMD3723,['INV-ZZ-2445370'],493500
BYKC60,ZZ20240516HYDAMD3723,['INV-ZZ-3162191'],493500
DUAG33,ZZ20240516HYDAMD3723,['INV-ZZ-4958958'],871500
DUBJ35,ZZ20240516HYDAMD3723,['INV-ZZ-7400587'],987000
FCHS82,ZZ20240516HYDAMD3723,['INV-ZZ-1225790'],766500
GYBJ90,ZZ20240516HYDAMD3723,['INV-ZZ-1093151'],1239000
IFOT44,ZZ20240516HYDAMD3723,['INV-ZZ-4939533'],1417500
IUOE22,ZZ20240516HYDAMD3723,['INV-ZZ-9146206'],1207500
IUOE88,ZZ20240516HYDAMD3723,['INV-ZZ-3596011'],3412500
JRRS62,ZZ20240516HYDAMD3723,['INV-ZZ-9333293'],535500
LHGC72,ZZ20240516HYDAMD3723,['INV-ZZ-4939533'],157500
MOKP38,ZZ20240516HYDAMD3723,['INV-ZZ-7388012'],942500
MTEW64,ZZ20240516HYDAMD3723,['INV-ZZ-5800571'],1921500
NZMC56,ZZ20240516HYDAMD3723,['INV-ZZ-6621713'],1617000
QUXC31,ZZ20240516HYDAMD3723,['INV-ZZ-6246289'],1669500
TBYQ49,ZZ20240516HYDAMD3723,['INV-ZZ-1572464'],934500
TLEK50,ZZ20240516HYDAMD3723,['INV-ZZ-1197368'],1354500
UIMJ88,ZZ20240516HYDAMD3723,['INV-ZZ-2060532'],577500
VGLW55,ZZ20240516HYDAMD3723,['INV-ZZ-3646764'],2425500
VSII60,ZZ20240516HYDAMD3723,['INV-ZZ-9961664'],661500
VTRE10,ZZ20240516HYDAMD3723,['INV-ZZ-5183618'],1953000
WEDU19,ZZ20240516HYDAMD3723,['INV-ZZ-7691499'],934500
WIDP94,ZZ20240516HYDAMD3723,['INV-ZZ-4173904'],577500
XDRG81,ZZ20240516HYDAMD3723,['INV-ZZ-8532545'],556500
XLWE26,ZZ20240516HYDAMD3723,"['INV-ZZ-1811088', 'INV-ZZ-1295587', 'INV-ZZ-8293607', 'INV-ZZ-5855237']",1448000
XNVS89,ZZ20240516HYDAMD3723,"['INV-ZZ-5317709', 'INV-ZZ-4166932', 'INV-ZZ-6858167', 'INV-ZZ-9522445']",864500
ZCVH22,ZZ20240516HYDAMD3723,['INV-ZZ-3381943'],1596000
ZDCU40,ZZ20240516HYDAMD3723,['INV-ZZ-7388012'],182000
ZKDX82,ZZ20240516HYDAMD3723,['INV-ZZ-5862096'],1596000
