RECLOC,DEP_KEY,Path,Score
AGYV45,ZZ20240516HYDAMD3723,['INV-ZZ-5049255'],745500
ARVE32,ZZ20240516HYDAMD3723,['INV-ZZ-9146206'],1312500
AZSF88,ZZ20240516HYDAMD3723,['INV-ZZ-7465065'],493500
BYKC60,ZZ20240516HYDAMD3723,"['INV-ZZ-1838433', 'INV-ZZ-1755206', 'INV-ZZ-7307992', 'INV-ZZ-9166592']",446500
DUAG33,ZZ20240516HYDAMD3723,"['INV-ZZ-7364196', 'INV-ZZ-8293607', 'INV-ZZ-5855237']",705500
DUBJ35,ZZ20240516HYDAMD3723,['INV-ZZ-8532545'],987000
FCHS82,ZZ20240516HYDAMD3723,['INV-ZZ-1129237'],766500
GYBJ90,ZZ20240516HYDAMD3723,['INV-ZZ-8657660'],1239000
IFOT44,ZZ20240516HYDAMD3723,['INV-ZZ-2307618'],472500
IUOE22,ZZ20240516HYDAMD3723,['INV-ZZ-9961664'],1207500
IUOE88,ZZ20240516HYDAMD3723,['INV-ZZ-4574120'],3412500
JRRS62,ZZ20240516HYDAMD3723,['INV-ZZ-5049255'],535500
LHGC72,ZZ20240516HYDAMD3723,['INV-ZZ-5049255'],157500
MOKP38,ZZ20240516HYDAMD3723,['INV-ZZ-6649525'],1522500
MTEW64,ZZ20240516HYDAMD3723,['INV-ZZ-6621713'],1921500
NZMC56,ZZ20240516HYDAMD3723,['INV-ZZ-1129237'],1617000
QUXC31,ZZ20240516HYDAMD3723,['INV-ZZ-6246289'],1669500
TBYQ49,ZZ20240516HYDAMD3723,['INV-ZZ-1535659'],934500
TLEK50,ZZ20240516HYDAMD3723,['INV-ZZ-6621713'],1354500
UIMJ88,ZZ20240516HYDAMD3723,"['INV-ZZ-4863717', 'INV-ZZ-1356544', 'INV-ZZ-1845516', 'INV-ZZ-4416867']",522500
VGLW55,ZZ20240516HYDAMD3723,['INV-ZZ-8561943'],2425500
VSII60,ZZ20240516HYDAMD3723,['INV-ZZ-9364354'],472500
VTRE10,ZZ20240516HYDAMD3723,['INV-ZZ-3381943'],1953000
WEDU19,ZZ20240516HYDAMD3723,['INV-ZZ-7691499'],934500
WIDP94,ZZ20240516HYDAMD3723,['INV-ZZ-8250797'],577500
XDRG81,ZZ20240516HYDAMD3723,['INV-ZZ-4958958'],556500
XLWE26,ZZ20240516HYDAMD3723,"['INV-ZZ-7364196', 'INV-ZZ-8293607', 'INV-ZZ-5855237']",1538500
XNVS89,ZZ20240516HYDAMD3723,['INV-ZZ-2445370'],955500
ZCVH22,ZZ20240516HYDAMD3723,"['INV-ZZ-8848016', 'INV-ZZ-2409735', 'INV-ZZ-2853561', 'INV-ZZ-1769110']",1444000
ZDCU40,ZZ20240516HYDAMD3723,['INV-ZZ-2060532'],294000
ZKDX82,ZZ20240516HYDAMD3723,['INV-ZZ-4779458'],1596000
