RECLOC,DEP_KEY,Path,Score
AGYV45,ZZ20240516HYDAMD3723,"['INV-ZZ-7364196', 'INV-ZZ-8293607', 'INV-ZZ-5855237']",603500
ARVE32,ZZ20240516HYDAMD3723,['INV-ZZ-7465065'],1312500
AZSF88,ZZ20240516HYDAMD3723,['INV-ZZ-1093151'],493500
BYKC60,ZZ20240516HYDAMD3723,['INV-ZZ-7400587'],493500
DUAG33,ZZ20240516HYDAMD3723,"['INV-ZZ-2651667', 'INV-ZZ-9326711', 'INV-ZZ-7249945']",830000
DUBJ35,ZZ20240516HYDAMD3723,['INV-ZZ-8250797'],987000
FCHS82,ZZ20240516HYDAMD3723,['INV-ZZ-5934612'],766500
GYBJ90,ZZ20240516HYDAMD3723,['INV-ZZ-8657660'],1239000
IFOT44,ZZ20240516HYDAMD3723,"['INV-ZZ-1838433', 'INV-ZZ-1755206', 'INV-ZZ-7307992', 'INV-ZZ-9166592']",1282500
IUOE22,ZZ20240516HYDAMD3723,['INV-ZZ-9397043'],1207500
IUOE88,ZZ20240516HYDAMD3723,"['INV-ZZ-7364196', 'INV-ZZ-8293607', 'INV-ZZ-4862678', 'INV-ZZ-3483223']",2437500
JRRS62,ZZ20240516HYDAMD3723,['INV-ZZ-9146206'],535500
LHGC72,ZZ20240516HYDAMD3723,['INV-ZZ-7465065'],157500
MOKP38,ZZ20240516HYDAMD3723,['INV-ZZ-9851798'],1522500
MTEW64,ZZ20240516HYDAMD3723,['INV-ZZ-4958958'],1921500
NZMC56,ZZ20240516HYDAMD3723,['INV-ZZ-9364354'],1155000
QUXC31,ZZ20240516HYDAMD3723,['INV-ZZ-6148464'],1669500
TBYQ49,ZZ20240516HYDAMD3723,['INV-ZZ-8657660'],934500
TLEK50,ZZ20240516HYDAMD3723,['INV-ZZ-4716996'],1354500
UIMJ88,ZZ20240516HYDAMD3723,"['INV-ZZ-5317709', 'INV-ZZ-4166932', 'INV-ZZ-6858167', 'INV-ZZ-9522445']",522500
VGLW55,ZZ20240516HYDAMD3723,['INV-ZZ-1703048'],2425500
VSII60,ZZ20240516HYDAMD3723,['INV-ZZ-6448069'],661500
VTRE10,ZZ20240516HYDAMD3723,['INV-ZZ-1129237'],1953000
WEDU19,ZZ20240516HYDAMD3723,['INV-ZZ-5049255'],934500
WIDP94,ZZ20240516HYDAMD3723,"['INV-ZZ-7364196', 'INV-ZZ-8293607', 'INV-ZZ-5855237']",467500
XDRG81,ZZ20240516HYDAMD3723,['INV-ZZ-9851798'],556500
XLWE26,ZZ20240516HYDAMD3723,['INV-ZZ-9341601'],1900500
XNVS89,ZZ20240516HYDAMD3723,"['INV-ZZ-6755786', 'INV-ZZ-4149618', 'INV-ZZ-9219423', 'INV-ZZ-2849755']",864500
ZCVH22,ZZ20240516HYDAMD3723,['INV-ZZ-2307618'],532000
ZDCU40,ZZ20240516HYDAMD3723,['INV-ZZ-1585088'],294000
ZKDX82,ZZ20240516HYDAMD3723,['INV-ZZ-3182805'],1596000
