RECLOC,DEP_KEY,Path,Score
AFAJ53,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",586500
AIGU50,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",816500
ATNB22,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
AZON15,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],546000
AZXJ72,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],903000
BBZC52,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",713000
BDCV62,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],1554000
BGVH87,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",471500
BKBA48,ZZ20240505AMDHYD2223,"['INV-ZZ-6008936', 'INV-ZZ-8555111', 'INV-ZZ-5285845']",2220000
BPLG41,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
BTKY23,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",770500
CAEI40,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1403000
CEHI73,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1386000
CODF11,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1270500
COLS70,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],430500
DDIA25,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],1029000
DJWG48,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1472000
DTNO66,ZZ20240505AMDHYD2223,['INV-ZZ-8908940'],1323000
DYYT32,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1000500
EEIB58,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",517500
EJFI16,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",943000
EQRJ63,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1173000
EURZ68,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],157500
EYSR99,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1748000
GARS29,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],1207500
GDMM37,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",2587500
GMTF21,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1081000
GOKD77,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",816500
HSNQ73,ZZ20240505AMDHYD2223,['INV-ZZ-5430563'],903000
IZJT55,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",2242500
JRQK47,ZZ20240505AMDHYD2223,['INV-ZZ-9772042'],2121000
JSND24,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",989000
JUNG10,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1069500
KEBM40,ZZ20240505AMDHYD2223,"['INV-ZZ-6748663', 'INV-ZZ-7772604']",1012000
